url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://pursuit0852.gumroad.com/l/nmxyayp,nmxyayp,Dreamscape Series: Icarus's Wings with VFX,Pursuit,https://pursuit0852.gumroad.com,0.00,True,False,,0,0.0,,4,15,3d/3d-assets/accessories/wings
https://pursuit0852.gumroad.com/l/qeuqv,qeuqv,Dreamscape Outfit [Metallic Wings & Bladed Skirt],Pursuit,https://pursuit0852.gumroad.com,0.00,True,False,,0,0.0,,4,15,3d/3d-assets/accessories/wings
https://pursuit0852.gumroad.com/l/wqxyjad,wqxyjad,Dreamscape Outfit [Angel Wings & Feathered Skirt],Pursuit,https://pursuit0852.gumroad.com,0.00,True,False,,0,0.0,,4,15,3d/3d-assets/accessories/wings
https://pursuit0852.gumroad.com/l/xiewli,xiewli,Exo's Ears,Pursuit,https://pursuit0852.gumroad.com,0.00,True,False,,0,0.0,,4,15,3d/3d-assets/avatar-components/ears
https://purxles.gumroad.com/l/ailvho,ailvho,Sling Kini (Celeste),Purxles,https://purxles.gumroad.com,1.50,False,True,52,4,5.0,13.00,18,51,3d/3d-assets/clothing/bodysuits
https://purxles.gumroad.com/l/vvbdwt,vvbdwt,Sling Kini (LunaBeast Redux),Purxles,https://purxles.gumroad.com,2.00,False,True,19,0,0.0,,19,55,3d/3d-assets/clothing/bodysuits
https://pxinky.gumroad.com/l/BGlasses,bluywx,B#%CHY Glasses for Novabeast,PxINKY,https://pxinky.gumroad.com,3.00,False,False,,0,0.0,,12,131,3d/3d-assets/accessories
https://qntm.gumroad.com/l/evmgaf,evmgaf,Valuable Humans in Transit and Other Stories,qntm,https://qntm.gumroad.com,3.99,False,False,,14,5.0,,,,fiction-books
https://quentindanblon.gumroad.com/l/fh6-forza-horizon-6-overlay-and-tuning,kjcjt,Horizon Labs - Telemetry & tuning companion,Quentin Danblon,https://quentindanblon.gumroad.com,2.99,False,True,594,8,5.0,74.25,,,gaming
https://raafatghareb.gumroad.com/l/layoutworkshop,tvxcx,Layout Workshop,Raafat Ghareb,https://raafatghareb.gumroad.com,100.00,False,False,,0,0.0,,,,design
https://raideus.gumroad.com/l/UltraNyako,qkcoaw,Ultra Outfit for Nyako | VRChat Clothing Addon,Raideus,https://raideus.gumroad.com,15.00,False,False,,0,0.0,,17,395,3d/3d-assets/clothing
https://rainwaterstudios.gumroad.com/l/fuphm,fuphm,Support the Studio,Rainwater Studios,https://rainwaterstudios.gumroad.com,0.00,True,False,,0,0.0,,,,recorded-music
https://rajputrajesh-448.gumroad.com/l/origintypeface9,fsuydl,ORIGIN,Rajesh Rajput,https://rajputrajesh-448.gumroad.com,0.00,True,False,,60,4.9,,41,9122,design
https://rancherg99.gumroad.com/l/aerehs,aerehs,Halter (Waggan),RancherG,https://rancherg99.gumroad.com,5.00,False,False,,3,5.0,,26,85,3d/3d-assets/accessories/harnesses
https://rancherg99.gumroad.com/l/ekndmn,ekndmn,Extra Fluff (Novabeast),RancherG,https://rancherg99.gumroad.com,3.00,False,False,,3,3.7,,26,85,3d/3d-assets/avatar-components/hair
https://rancherg99.gumroad.com/l/hwhdyz,hwhdyz,Halter (Novabeast),RancherG,https://rancherg99.gumroad.com,5.00,False,False,,0,0.0,,27,88,3d/3d-assets/accessories/harnesses
https://rancherg99.gumroad.com/l/ijczv,ijczv,Hoof (Novabeast Hooves),RancherG,https://rancherg99.gumroad.com,7.00,False,False,,6,5.0,,26,82,3d/3d-assets/avatar-components/feet
https://rancherg99.gumroad.com/l/kzxflc,kzxflc,EmberBean Piercing Set FT,RancherG,https://rancherg99.gumroad.com,5.00,False,False,,4,5.0,,26,84,3d/3d-assets/accessories/jewelry
https://rancherg99.gumroad.com/l/mgrta,mgrta,Novabeast Piercing Set FT,RancherG,https://rancherg99.gumroad.com,7.00,False,False,,2,5.0,,26,86,3d/3d-assets/accessories
https://rancherg99.gumroad.com/l/nmwnou,nmwnou,Extra Fluff (Wickerbeast),RancherG,https://rancherg99.gumroad.com,3.00,False,False,,4,5.0,,26,84,3d/3d-assets/avatar-components/hair
https://rancherg99.gumroad.com/l/puqxr,puqxr,Reindeer Antlers,RancherG,https://rancherg99.gumroad.com,3.00,False,False,,2,5.0,,26,86,3d/3d-assets/avatar-components/horns
https://rancherg99.gumroad.com/l/sjmhzr,sjmhzr,Player 1 Furality Ultra Outfit,RancherG,https://rancherg99.gumroad.com,12.00,False,False,,3,5.0,,26,85,3d/3d-assets/clothing
https://rancherg99.gumroad.com/l/wwekh,wwekh,Spider Set,RancherG,https://rancherg99.gumroad.com,3.00,False,False,,3,5.0,,26,85,3d/3d-assets/accessories/wings
https://rancherg99.gumroad.com/l/xmcfv,xmcfv,Hoof (Waggan Hooves),RancherG,https://rancherg99.gumroad.com,7.00,False,False,,3,4.0,,26,85,3d/3d-assets/avatar-components/feet
https://rancherg99.gumroad.com/l/yffdat,yffdat,EmberBean Leash,RancherG,https://rancherg99.gumroad.com,0.00,True,False,,0,0.0,,27,88,3d/3d-assets/accessories/harnesses
https://rankingtactics.gumroad.com/l/ai-writer-subscription,ampad,ZimmWriter (Subscription),ZimmWriter (by Matt Zimmerman),https://rankingtactics.gumroad.com,0.00,True,False,,168,4.8,,,,3d/3d-assets/3ds-max
https://rart.gumroad.com/l/HoudiniAIAssistant,frzfq,Houdini AI Assistant ,Radu Cius,https://rart.gumroad.com,0.00,True,False,,47,4.8,,15,416,3d
